,brand,year,spec_title,spec_url,fuel_type,transmission
25344,Volvo,2002,2002 Volvo S40 1.9 D 102hp Europa Elegance specs,https://www.cars-data.com/en/volvo-s40-1-9-d-102hp-europa-elegance-specs/55217/tech,Diesel,Manual
25345,Volvo,2002,2002 Volvo S40 1.9 D 102hp Europa Sports specs,https://www.cars-data.com/en/volvo-s40-1-9-d-102hp-europa-sports-specs/55218/tech,Diesel,Manual
25346,Volvo,2002,2002 Volvo S40 1.9 D 115hp specs,https://www.cars-data.com/en/volvo-s40-1-9-d-115hp-specs/55221/tech,Diesel,Manual
25347,Volvo,2002,2002 Volvo S40 1.9 D 115hp Europa specs,https://www.cars-data.com/en/volvo-s40-1-9-d-115hp-europa-specs/55222/tech,Diesel,Manual
25348,Volvo,2002,2002 Volvo S40 1.9 D 115hp Europa Elegance specs,https://www.cars-data.com/en/volvo-s40-1-9-d-115hp-europa-elegance-specs/55223/tech,Diesel,Manual
25349,Volvo,2002,2002 Volvo S40 1.9 D 115hp Europa Sports specs,https://www.cars-data.com/en/volvo-s40-1-9-d-115hp-europa-sports-specs/55224/tech,Diesel,Manual
25350,Volvo,1994,1994 Volvo 850 2.0i specs,https://www.cars-data.com/en/volvo-850-2-0i-specs/54471/tech,Petrol,Manual
25351,Volvo,1994,1994 Volvo 850 2.0i specs,https://www.cars-data.com/en/volvo-850-2-0i-specs/54472/tech,Petrol,Automatic
25352,Volvo,1994,1994 Volvo 850 2.0i Comfort-Line specs,https://www.cars-data.com/en/volvo-850-2-0i-comfort-line-specs/54473/tech,Petrol,Manual
25353,Volvo,1994,1994 Volvo 850 2.0i Comfort-Line specs,https://www.cars-data.com/en/volvo-850-2-0i-comfort-line-specs/54474/tech,Petrol,Automatic
25354,Volvo,1994,1994 Volvo 850 2.0i Luxury-Line specs,https://www.cars-data.com/en/volvo-850-2-0i-luxury-line-specs/54475/tech,Petrol,Manual
25355,Volvo,1994,1994 Volvo 850 2.0i Luxury-Line specs,https://www.cars-data.com/en/volvo-850-2-0i-luxury-line-specs/54476/tech,Petrol,Automatic
25356,Volvo,1994,1994 Volvo 850 2.0i Sports-Line specs,https://www.cars-data.com/en/volvo-850-2-0i-sports-line-specs/54479/tech,Petrol,Manual
25357,Volvo,1994,1994 Volvo 850 2.0i Sports-Line specs,https://www.cars-data.com/en/volvo-850-2-0i-sports-line-specs/54480/tech,Petrol,Automatic
25358,Volvo,1994,1994 Volvo 850 2.5i specs,https://www.cars-data.com/en/volvo-850-2-5i-specs/54481/tech,Petrol,Manual
25359,Volvo,1994,1994 Volvo 850 2.5i specs,https://www.cars-data.com/en/volvo-850-2-5i-specs/54482/tech,Petrol,Automatic
25360,Volvo,1994,1994 Volvo 850 2.5i Comfort-Line specs,https://www.cars-data.com/en/volvo-850-2-5i-comfort-line-specs/54483/tech,Petrol,Manual
25361,Volvo,1994,1994 Volvo 850 2.5i Comfort-Line specs,https://www.cars-data.com/en/volvo-850-2-5i-comfort-line-specs/54484/tech,Petrol,Automatic
